,review_rate,review_body
10,40,"Pra quem quer reunir os amigos ou até mesmo a família, recomendo ir ao 21. Lá tem comida e diversão (como sinuca). Música ao vivo, cada dia uma banda diferente. Lá servem taças doces, hamburgers, cervejas artesanais - também tem outras bebidas - entre outros. "
11,50,"Decoração sensacional, atendimento cordial, cardápio convidativo e tempo de espera é satisfatório. Recomendo!"
12,50,"Já virei fã deste lugar. Doces excelentes, comidas excelentes, o atendimento totalmente personalizado e da pra se sentir muito a vontade.Quer um lugar pra comer e se divertir, vá conhecer o 21."
13,40,"O 21 Cocktail Bar é um lugar bem bacana para ir com amigos, casais, ambiente bem tranquilo. O atendimento é muito bom, as garçonetes são bem animadas, fomos muito bem atendidos. A comida é ótima, pedi uma lasanha vergana muito saborosa, não demorou muito para vir, só o drink que pedi que não era muito bom, mas fora isso, tudo é muito gostoso. Tem que pagar 10 reais de entrada por pessoa, a música é boa tmb. O preço é acessível, recomendo conhecer o bar."
14,10,"não gostei muito da comida,o doce é mais bonito que gostoso, e não gostei muito do atendimento, demorava muito para ser atendido"
15,40,"Excelente lugar, ambiente tranquilo e familiar. Musica ao vivo meio alta, sugiro sentar afastado do som. Comida boa, drinques alcoólicos bons - não ótimos. O que mais agrada mesmo é o cardápio de sobremesas, enormes e realmente muito boas. Pode ficar tranquilo que não é enjoativo!!! E pedir o que mais saltar aos olhos!!! O atendimento deixa um pouco a desejar, mas os doces compensam tudo isso!"
16,50,"Ótima opção pra quem procura um lugar bacana e comida diferenciada para passar momentos agradáveis, os doces com certeza são ponto forte, música ambiente de muito bom gosto, atendimento nota 10, localização nobre. Preço condiz ao local. Recomendo "
17,40,"Fui no dia de sábado à noite e não gostei de ter uma taxa de R$ 10,00 por pessoa para o músico. Fora isso... local bonito e agradável. Som ambiente bom, antes do músico chegar. Milk shake de qualidade. Pretendo voltar outro dia, menos no sábado que tem esse preço abusivo."
18,50,"Resolvemos conhecer o local devido os comentários de amigos. Ao chegar fomos super bem atendidos. Comida fantástica., Rápida e segue padrão de bom gosto. Drinks ótimos para acompanhar a refeição :) "
19,50,"21 Cocktail Bar é um lugar muito agradável para ir com amigos ou em casal, mesmo com movimento ó atendimento foi excelente, fizemos a reserva da mesa com antecedência por isso o lugar que ficamos foi bom! O carro chefe do local são os doces incríveis! Eu escolhi o Red Vevelt na taça e estava melhor do que eu imaginava, não é enjoativo. Gostei e indico! "
20,50,local muito descontraído e agradável. Atendimento ótimo e comida deliciosa tanto as porções quanto os doces maravilhosos...
21,50,"A bastante tempo planejava ir ao bar ... pra provar o famoso milkshake ""copo sujo"" então ao chegar ao bar jah notei que a localização e o ambiente convidativo eram pontos fortes. Atendimento de primeira com hambúrgueres variados, diferenciados e saborosos... o chop da casa também eh muito bom... e finalmente o milkshake ... para degustar com os olhos e o paladar!!!!"
22,40,"Ambiente descontraído. Decoração muito bacana. Os drinks são maravilhosos, dá pra voltar muitas vezes e provar diferentes."
23,30,"O local é muito bom, os doces com toda certeza é o ponto forte local. As porção apenas para duas pessoas. Fui em uma sexta e o atendimento demorou.A musica é muito boa"
24,40,"O estilo do PUB não é o meu, mas o ambiente é agradável e tudo que eu comi por la estava tudo muito bom."
25,50,"Adorei o cardápio e foi uma pena que não deu para provar de tudo, as porções são ótimas e as sobremesas então nem se fala! Ótimo atendimento e o garçom sempre pronto para esclarecer as dúvidas e indicar o que mais sai na casa! Ambiente agradável porém as vezes a música fica um pouco alta para poder conversar, mas não mudou minha satisfação quanto ao lugar!"
26,50,"Nem procuro outros lugares quando vai ter algum evento no UFC, além do atendimento ser ótimo e as bebidas e refeições ainda melhores, a visão da luta acontece em vários telões e projeções dentro do bar, excelente."
27,50,"Uma boa pedida para uma noite com um bom rock, hambúrguer caseiro e milk shakes espetaculares. Ótimo atendimento. Vale a pena conferir o milk shake de nutella. "
28,40,"Um ótimo lugar para comer bem, beber bebidas de qualidade por um bom preço. O cardápio oferece várias coisas gostosas pra beber, como porções, batatas e hamburgueres. Alías, o hambúrguer é bem gostoso e tem dia que você compra um e ganha outro. Além disso, servem um chopp artesanal bem gostoso. Vale a pena, ambiente muito agradável."
29,40,"Um excelente lugar para fazer um happy ou tomar umas com os amigos. Além de excelentes bebidas, com chopp artesanal ótimo e drinks bem preparados, há boas coisas para comer, com destaque para os hamburgueres. Inclusive, há um dia na semana que tem double de hamburguer. Ótimo!"
30,40,O clima do bar é muito legal. Música boa e diversas opções de drinks. Possui uma mesa de sinuca no mezanino. Comemos uma batata assada que estava excelente.
31,50,"Fui com a minha namorada para conhecer e acabei me encantando pelo local. Muito bem decorado, uma banda que tocava somente musicas de altíssimo bom gosto. Os drinks são atrações a parte, um mais caprichado que o outro.Existem lugares que enchemos a boca para falar e recomendar o 21 cocketail é um desses lugares. Muito bom tudo adorei!"
32,40,Gosot do ambiente e das opções de bebida servidas no 21 Cocktail Bar. O lugar é moderno e confortável. 
33,40,"Bar gostoso, com varios cocktails e cervejas para curtir, tem uns petiscos show de bola para acompanhar!"
34,40,"Lugar um pouco pequeno mas gostoso, toca mais musica eletronica. Tem muitos drinks diferentes. Os sanduíches oferecidos pela casa tambem são bons."
35,50,"Lugar ótimo para ir com os amigos! Música bacana, porções e drinks, excelentes! Localização ótima, pessoal gente fina! Recomendo! "
36,40,"O bar fica num ponto legal, o atendimento foi bom e os drinks bem servidos. Ambiente gostoso, com música boa.Os preços são razoáveis."
37,50,"Bar bacana pra se tomar uns drinks diferentes, bem tranquilo, sem muvuca, onde da pra apreciar uma boa musica, e os garçons fazendo malabarismo com as bebidas, é bem legal a experiencia, vale a pena conhecer."
38,40,ambiente simples mas muito agradável. Boa comida. Boas opções. Bom para jantar ou apenas aperitivar com os amigos. 
39,40,"Frequentamos o Lusitano de longa data. Sempre muito bem atendidos, cerveja bem gelada e pratos irretocáveis. Todos muito bem elaborados e com tempero distinto. Um único defeito que consideramos GRAVE: aos sábados, dia em que as famílias não têm horário e o dia nos convida para uma cerveja, o Lusitano fecha às 15 horas para reabrir às 18. Falta de pensamento de empreendedorismo. Bastaria deixar um ou dois funcionários atendendo quem quer continuar tomando sua cerveja. Os lucros e o apoio dos clientes seriam maiores e sobrariam aplausos pra quem já é bom. Seriam melhores e referência em Cascavel. "
40,40,"A comida é muito boa!!! As porções são bem servidas e o preço é bom. O lugar é agradável, a única coisa que precisa melhorar é o atendimento de alguns garçons. Alguns são ótimos, outros não tem educação."
41,40,"pra quem gosta de porções é uma boa pedida, comida boa com preço condizente, excelente lugar pra happy hour"
42,50,"O carro chefe desse restaurante é a porção de tilápia a milanesa. Não tem igual na cidade inteira. Sem contar que é um ótimo custo beneficio. É um lugar classico em Cascavel, então sempre está lotado, principalmente em datas festivas. Voce pode pegar para a viagem também. É um lugar grande, então comporta bem grupos grandes. Existem 2 restaurantes (o mais velho e o mais novo), a qualidade é a mesma, é só escolher o que estiver menos cheio kk Mas é um lugar ótimo, a comida é gostosa e o atendimento é bom."
43,40,"Sempre gostei de ir na Adega do Lusitano. Cerveja geladíssima, porções bem servidas e preço justo. Para Happy Hour com amigos é uma boa dica!!"
44,50,"Para quem deseja um local agradável e com uma comida maravilhosa, o Lusitano é o lugar, quando vou lá com minha família a porção de tilapia, porção de batata frita e a salada são os pratos pedidos e com certeza aprovados por toda a família."
45,50,"Muito boa a experiência. Peixe saboroso. Único problema é a acomodação e estacionamento. Pois devido a procura, sempre deve chegar mais cedo para encontrar os melhores lugares para nos assentar. "
46,50,"Excelente ambiente, ótima porção generosa de tilápia acompanhada com a cerveja trincando de gelada, reocmendo."
47,50,Melhores porções de Cascavel. Preço acessível. Ambiente familiar porém sempre cheio. Vale a pena. Não esquecer de pedir o molho tártaro de complemento .
48,50,"Lugar aconchegante, ótimo atendimento, preço justo e comida muito boa! Virei cliente assídua. Virei sempre"
49,40,"O atendimento é muito bom. As porções são muito bem servidas, fui sozinho e pedi meia porção, o que foi extremamente suficiente. Para quem quer comer um peixe frito e tomar uma cervejinha é excelente."
50,40,"Atendimento Muito Bom e rápido, Chop excelente, porção de tilápia frita excelente, a melhor que já comi, e a polentinha com queijo fenomenal.Vale a pena conhecer."
51,50,"Como gosto realmente de peixes, o filé de Tilápia da Adega Lusitano não tem igual.Excelente lugar para você encontrar com os amigos e ter um ótima refeição.Regada com maravilhosos petiscos, bebidas,etcPessoal atencioso e prestativos.Super recomendo."
52,50,"Comida saborosa, bom atendimento, valor muito acessível. As vezes é um pouco demorado, fila de espera."
53,40,"Uma joia de Cascavel, a muitas décadas oferendo uma boa comida e uma cerveja bem gelada. Não perde a qualidade "
54,50,"Lugar muito bom para um petisco e também para jantar. Cerveja sempre gelada, o atendimento sempre é muito bom. Vale a pena conferir!"
55,30,"Local muito frequentado, porém achei nada de espetacular, boas porcoes, incluindo a de tilapia que é um classico da casa, as porcoes sao relativamente baratas, perfeito para um happy hour, mas acredito que tenha restaurantes melhores em Cascavel."
56,40,"Restaurante a la carte com pratos deliciosos, bom para degustar com amigos e família num jantar ou final da tarde para depois da reunião. Tem opção de entrega, sendo o de Tilápia Frita Completo o mais tradicional. Diversos tamanhos de porções. Diversidade de bebidas também agrada. Possuem 2 endereços em Cascavel."
57,40,"Gostamos muito das porções de peixe, batata e polenta fritos. Atendimento é bom. O único problema é que geralmente, principalmente aos finais de semana, lota, então eles fazem uma pressão para sair logo para liberar as mesas, mas fora isso é muito bom."
58,30,"Bom local para quem quer comer muito e por pouco dinheiro. Já foi mais barato, mas ainda lota sempre. Não sei o que tem lá que atrai tanta gente. É bom, mas nada de fantástico."
59,40,"Sempre que vamos a Cascavel em família vamos ao Lusitano, as porções são sempre ótimas! Vale a pena ir com a família..."
60,40,"Vou com frequencia na Adega. O cardápio é bem variado. Porções de peixe, bolinho de bacalhau e frango a passarinho, sem iguais!!!Os pratos a la carte também são muito bons e bem servidos.O atendimento é um pouco complicado, tentam atender da melhor forma, mas nos dias de grande movimento os atendentes se perdem pelo caminho."
61,40,"Boa opção para comer uma tilápia......bolinho de bacalhau e tomar uma cerveja em Cascavel, atendimento muito bom e preços justos. Recomendo."
62,50,"O melhor da cidade! Otimo atendimento eh um local acolhedor para encontrar amigos e familia, o preço muito bom."
63,40,"Frequento o local a bastante tempo, a qualidade de sempre,para mim a melhor tilápia de Cascavel, serve porções ou opções de prato a la carte. O atendimento é muito bom, sempre com a presença dos proprietários. O único detalhe, sempre cheio, principalmente finais de semana, é preciso ter paciência para enfrentar filas, mas vale a pena."
64,40,"O local é um dos mais antigos da cidade, a estrutura não é das mais novas, mas é tradicional. Sempre lotado, muito movimentado. Cerveja geladinha, e porções que são muito bem servidas. Recomendo!"
65,50,"Tem porções deliciosas, muito bem temperadas e bem servidas. Preço justo. O molho tártaro que acompanha a porção de tilápia é muito bom. Os pratos também são bem fartos e muito deliciosos."
66,40,"A porção de tilápia é muitooo boa e bem grande, serve 2 pessoas com muita fome ou se não estiver com tanta até 3. Só precisa melhorar mais a decoração do ambiente e conforto, como sugestão."
67,40,"Lugar tranquilo para você passar momentos de guloseimas, um atendimento rápido, preço bem popular com bastante lugares e comida de primeira qualidade."
68,30,Bom local para comer uma tilayfrita com cerveja gelada. As porções de petiscos são bem servidas. A estrutura física do local é bem simples.
69,40,"Local mais simples , mais com ótima opção de porções e pratos , porções saborosas e generosas , cerveja bem gelada e ambiente gostoso !"
70,30,"Tem um custo beneficio muito bom, mas precisa melhorar no atendimento e na estrutura geral do restaurante."
71,40,"Petiscos muito saborosos e com uma grande variedade, o local é simples, ideal para um bate papo com amigos."
72,40,"Ambiente tranquilo, porções generosas, cerveja gelada, garçons atentos e a cozinha é bem rápida no atendimento dos pratos em geral. O que falta é um espaço Kids pra distrair as crianças."
73,50,Muito bom espasoso atendimento amigavel e rapido cardapio variado varais porçoes preço ascessível ecelente
74,40,"Lugar com ótimo atendimento, as porções são maravilhosas, cervejinha sempre geladinha. Porém o espaço é um pouco pequeno, sempre lota."
75,50,"Na minha opinião o melhor peixe frito da cidade com o tamanho da porção adequada pra quem tem fome e tbm tem aquela cerveja trincando, uma combinação perfeita para familia e amigos."
76,40,"A Adega O Lusitano é um restaurante que recomendo, pelo ambiente, qualidade dos alimentos e ótimo atendimento. Serve peixes em porções ou ala carte. Fácil acesso, na rua São Paulo, próximo a rua Pio XII. Após às 20:00h ligue para fazer reserva. Mas não abre aos domingos."
77,40,"A comida é saborosa, quando vou sempre peço tilapia a milanesa e batatinha frita, não tem erro. Porém, o atendimento deixa um pouco a desejar."
78,50,"São dois restaurantes Lusitano, ambos na mesma rua e relativamente próximos entre si.Prefiro o mais antigo, não puxado para barzinho enquanto o outro é mais puxado para um restaurante!Só conheço a porção de tilapia frita que é bem servida e bem gostosa e a salada mista. Uma inteira é bastante coisa. Local descontraído, cerveja gelada. Preço bom. Recomendo."
79,50,"Bom, bonito e barato, lugar agradável, que sempre está cheio, devido à qualidade das porções e ao ótimo valor.. Se for um casal, ou até 3 pessoas, podem pedir 2 meias porções, por exemplo meia de batata frita e meia de tilápia, que irá vir muita comida, e ainda vai sobrar, e no fim ninguém pagará caro."
80,40,Ótimo local para uma cerveja gelada e petiscos de Qualidade. A tilápia e o camarão a milanesa são os carros chefes do cardápio de tira gosto e o bacalhau bemPreparado completa o almoço que pode ser servido na calçada. Serviço bom e descontração. Ótima frequência da família cascavelense!! 
81,50,"Tem aquele ar de boteco, no bom sentido. Porções bem servidas e preço bem justo.Peça a porção de tilápia a milanesa, a melhor que já comi. Incomparável."
82,50,"Pratos com peixe deliciosos!! Porções generosas, preços justos, cerveja sempre gelada!! Ambiente familiar, perfeito para happy hour!!"
83,40,É um bom lugar para ir com os amigos comer petiscos a base de peixes ! Cerveja gelada! Ambiente acolhedor!
84,50,"Ótima comida, a tilapia a milanesa acompanhada com um molho tártaro é fantástica. Cerveja bem gelada, bom atendimento e preços acessíveis. Existem 2 lusitanos na mesma avenida, ambos seguem o mesmo padrão de qualidade, porém com um ambiente diferente. Um mais rústico e boêmio e o outro mais moderno. Sugiro experimentar os dois! Hehe."
85,50,"Excelentes os pratos a base de bacalhau, o melhor filé de tilápia da cidade, empanado e frito em tiras, vem sequinho e crocante, além é claro do bolinho de bacalhau, as cervejas das mais variadas marcas vem trincando, super geladas e descansadas, super recomendo."
86,40,"Ambiente agradável para ir com a família ou amigos, cerveja gelada, porção de peixe muito saborosa, só acho que deveria acompanhar um molho de alho ou outro sabor sem acréscimo no valor."
87,40,"Espaço adequado para ir com a familia e amigos, o melhor restaurante da cidade para se comer peixe, porções generosas e com preços acessíveis.O Bacalhau servido no Lusitano é muito bom"
88,50,"Sempre surpreende as porcoes deste bar, muito bem preparadas, principalmente a de costela de Pacu , expetacular com um sabor que é só deles."
89,50,"ótimo lugar para ir com amigos e familiares! bom, barato, porções bem grandes meia porção serve o casal tranquilo!!"
90,50,"Ótimo ambiente comida boa.lugar simples, com bom custo benefício. atendimento de qualidade. todos atenciosos."
91,40,"Costuma estar cheio, servem umas porções boase a cerveja gelada , lugar simples, com bom custo benefício."
92,50,"O clássico e a tilápia a milanesa, acompanhada de fritas, frios e polenta frita, um ponto negativo é a fila pra entrar no lugar, vá com antecedência, mas a espera vale a pena."
93,50,"Como o próprio nome diz: ADEGAR DO LUSITANO. Tem um bom atendimento, seu pessoal são atenciosos, tem im ambiente aconchegante e atraente. O bom mesmo é a comida. Tem chopp, cerveja e o resto também...É uma Adega que esta sempre lotada. Seus preços são acessíveis e esta a altura dos produtos que serve.MUITO BOM."
94,40,"A comida demorou um pouco para chegar, mas sem contar com isso o restaurante é ótimo..... A comida é mt saborosa, é um lugar muito agradável.... Eu realmemte recomendo muito."
95,40,"O melhor peixe frito da cidade, sem igual, cerveja gelada, ambiente bom. Ás vezes tem muito movimento e os garçons demoram para atender, mas com paciencia vale a pena. Porçoes grandes e com bom preço. Recomendo"
96,40,"Fui com as minhas amigas para jantarmos. O lugar é simples, mas muito gostoso, boa comida e preço justo."
97,50,"Ótima pedida pra ir comer lá ou para retirar e comer em casa! Porções generosas e deliciosas! Não deixe de pedir o peixe à milanesa, vale muito a pena!"
98,50,Sempre uma excelente combinação! Ainda mais com uma cerveja gelada. Aqui o sabor nunca decepciona e o atendimento também não.
99,30,"Fui com família,atendimento muito bom, comida muito boa,cerveja bem gelada, único ponto negativo são os banheiros que estavam sem condições de uso,privada entupida e sem água na torneira... Para um lugar de bastante movimento e inaceitável os banheiros não estarem em condições."
100,50,"Confesso que esperava um restaurante português tradicional e ao chegar e ver um local descontraído com mesas na calçada fiquei desconfiado... para minha surpresa a comida é ""de comer de joelhos"", o serviço excelente, além de um ambiente descontraído! Comemos filezinho de tilápia a milanesa, bolinho de bacalhau e casquinha de siri... A cerveja servida na temperatura ideal não podia ser melhor companhia! Voltarei com certeza na próxima ida a Cascavel!"
101,50,"Ambiente simples, porém tranquilo e com preço justo. Muito bom para se reunir com a família e amigos."
102,50,"Espaço ótimo para quem gosta de um cardápio a base de peixe , muito bom atendimento recomendo o local "
103,50,Excelente local para jantar como para petiscos. Ambiente tranquilo. Comida deliciosa. Fácil estacionamento.
104,40,"Ambiente simples mas aconchegante, a tilápia é uma delícia vale a pena pedir o molhinho de acompanhamento, a batata e polenta também são uma delícia, valor tranquilo."
105,50,São dois restaurantes na mesma rua. Ambos são excelentes no quesito comida e bebida. Os ambientes não são muito aconchegantes
106,40,ótimo lugar para refeições e encontro com amigos. Ambiente simples que proporciona às pessoas ficarem a vontade.
107,50,"Restaurante com petiscos de ótima qualidade, pratos saborosos e de preparo rápido , excelente custo beneficio "
108,50,"Fui no lusitano mais antigo, não no novo, e lá é muito bom, local muito agradável, comida muito boa, ótimas porções também. O pessoal é muito simpático e o preço é bem em conta. Ótimo lugar para ir com a família ou amigos."
109,40,"Porções boas, acompanhamento também, um pouco apertado o lugar, porém, você se diverte com os amigos."
110,50,Ótima opção de happy hour. A porção de filé de tilápia é ótima e gigante! A cerveja é gelada e o preço é justo.Excelente custo benefício.
111,40,"Lugar simples, para beber no happy hour com os amigos!Cerveja gelada e a tilápia são o forte da casa!"
112,50,"Melhor rodizio de peixes de cascavel, ótima variedade, ambiente confortável, cerveja bem gelada, vale a pena conferir."
113,30,"A comida é boa e por isso o ambiente está sempre lotado o que é ruim já que o espaço físico deixa a desejar. Os pedidos demoram, então não vá com pressa. Comer com amigos é melhor, porquê deixa a conta mais barata. Há pouco estacionamento em volta e sempre tem aqueles flanelinhas miseráveis importunando."
114,40,"Muito boa as porções de batata, tilápia e mandioca frita, muito bom para um happy hour com os amigos."
115,40,"A Adega do Lusitano é um dos restaurantes mais movimentados da cidade, tem na minha opinião a melhor porção de filé de tilapia da cidade, muito bom, o almoço é muito bom, ambiente agradável, bem localizado, vários tipos de porções, bebidas, ótimo para haapy hour. "
116,40,"Opção muito boa para comer com os amigos e família. As porções são generosas e muito saborosas. Entretanto, não deixe para ir tarde pois está sempre cheio e provavelmente terá que enfrentar fila."
117,40,"Atendimento rápido, porçoes bem generosas, geralmente dá para duas pessoas, se o jantar ou almoço for para descontrair tudo certo ´pois o ambiente fica bem barrulhento, muitas pessoas falando num só local, mesmo sendo amplo."
118,50,"Restaurante familiar com porções generosas, ambiente descontraído com valor acessível. Bom para reunir família e amigos. "
119,50,"Excelente lugar, comida boa, atendimento ótimo lugar muito aconchegante cerveja super gelada e o melhor de tudo o preço e otimo"
120,40,Melhor opção da cidade se está procurando algo barato e de qualidade. Os peixinhos fritos são bons e não parecem ser feitos com óleo velho. Cerveja barata. Atendimento varia pq o lugar eh geralmente muito cheio
121,50,"Ótimo restaurante para levar a família, o custo benefício eh excelente, as porções são muito bem servidos."
122,50,"Local muito agradável, arejado e espaçoso.Fui em Jan/16 em pleno verão, o estabelecimento estava lotado, porém muito animado e aconchegante.O atendimento me surpreendeu devido a grande movimentação..Preço: acessível e justo.Dica: não deixe de experimentar o molho tártaro com tilápia.Até hoje não encontrei molho melhor."
123,40,"Otima localização, bom atendimento e uma tilapia bem top com preço que cabe no bolso. Otimo lugar para happy hour com parceiros e clientes. "
124,40,"A porção de tilápia é enorme (a média serviu um casal e sobrou), muito gostosa e com preço pra lá de justo. Além de tudo, cerveja bem gelada."
125,50,O local é espaçoso! As porções são generosas e saborosas! Chopp gelado! Lugar agradável para encontro com amigos!
126,50,"file de tilapia e costelinha de pacu frita, com batatinha frita e molho tártaro e aquela gelada....mais pensa numa cerveja geladinha .....essa eh minha pedida....vale a pena conferir"
127,50,"Lugar bem gostoso para passar o tempo, ótima opção para o final de semana e levar pessoas especiais. Recomendo para todos "
128,50,Ir com a família e amugos e comer o melhor peixe da cidade e pagar com prazer. Bom para grupo de formandos com preços acessíveis. Recomendo.
129,40,"Este restaurante é muito bom para se comer um petisco de peixe, ou de carnes e tomar um vinho e cerveja."
130,50,A melhor Tilapia a milanesa de Cascavel além de ser bem servida o atendimento é de primeira. O preço então melhor ainda.
131,40,"A porção de filé de tilápia é ótima, combina com bolinho de bacalhau e salada mista.Para beber cerveja bem gelada."
132,50,"Atendimento bom e atencioso, local muito frequentado, comida e vinhos excelentes, relação do custo/benefício muito atrativa, lugar recomendável pra quem aprecia um bom filé de tilapia! "
133,50,"Sempre frequento aos finais da tarde, ou então, para conversar com amigos/colegas advogados para reuniões rápidas. Serviço correto, ótimas opções para quem gosta de bacalhau e assimilados... Particularmente, considero o bolinho de bacalhau mais saboroso da região. Recomendo sem medo..."
134,40,"Local de comida barata e ótima. O atendimento, muitas vezes deixa a desejar, mas eles tem o melhor filé de tilápia da cidade. Para quem gosta, não deixe de provar o molho tártaro."
135,40,"O local é simples porém todos os produtos são oferecidos com muita qualidade. Bem localizado, bom atendimento. "
136,40,"Ótima comida, com um cardápio variado e um atendimento muito bom o lugar é bem aconchegante, muito bom para levar a família e os amigos"
137,50,Já fomos duas vezes..O local é muito agradável e de uma comida maravilhosa...peixinho crocante sem igual..... Vale a pena voltar sempre.
138,50,"Pensou em comer um peixinho de qualidade e tomar uma cerveja gelada, não pense duas vezes pode considerar esta sugestão ""Adega do Lusitano"" realmente vale a pena. Detalhe importante comida de qualidade e bem em conta."
139,40,"Ótima comida,atendimento muito bom,cardápio variados a limonada suíça é muito muito boa.. Preço razoável"
140,50,"Lugar com a melhor porção de tilápia de Cascavel, cerveja sempre na temperatura certa e o custo benefício é ótimo. Recomendo"
141,50,"Muito bom a comida é ótima, os funcionários são atenciosos. Só tem um problema é muito cheiro então para vc entrar para comer tem que enfrentar a fila que as vezes é pequena ou As vezes é bem grande :) mais compensa vale a pena p"
142,40,"Otimo para quem gosta de peixe de agua doce e simples mas a comida e boa, um lugar otimo para ir com a familua amigos etc. Vale a pena confwrir eu recomendo."
143,50,"excelente lugar para se reunir com os amigos, variedade de peixes e acompanhamento, organizado, sempre lotado."
